SI.NO,PSC:,PRODUCT/PARTS,COMPLAINT,CHECK-1,ACTION,CHECK-2,ACTION,CHECK-3,ACTION,CHECK-4,ACTION,CHECK-5,ACTION,CHECK-6,ACTION,CHECK-7,ACTION,CHECK-8,ACTION,CHECK-9,ACTION,CHECK-10,ACTION,CHECK-11,ACTION,CHECK-12,ACTION
,,,PENDRIVE AND KEYBOARD NOT DETECTED,CHECK THE MAINBOARD USB SETTING IS CORRECT,CORRECT THE USB SETTINGS ,CHECK THE USB CONNECTOR AND INTERFACING CABLE,REPLACE THE CONNECTOR OR CABLE,CHECK THE MAINBOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR BOARD PAIR,,,,,,,,,,,,,,,,,,
,,,WIFI/GSM MODULE ERROR SHOWN,CHECK THE WIFI/GSM SETTINGS DETAILS,ENTER THE REQUIRED SETTINGS,CHECK THE MAINBOARD TO MODULES OR BACKPANEL FRC CABLE AND CONNECTION DIRECTION,REPLACE THE CABLE OR RE CONNECT THE CABLE AT CORRECT DIRECTION,CHECK THE WIFI/GSM MODULE BREATHING LED IS WORKING,REPLACE THE WIFI/GSM MODULE,CHECK THE ANTENNA SMA CABLE CONNECTION QUALITY AND ANTENNA CONNECTOR QUALITY,REPLACE THE ANTENNA AND SMA CABLE,,,,,,,,,,,,,,,,
,,,FRONTPANEL KEYPAD NOT WORKING,"CHECK THE KEYPAD,INTERFACING CABLE AND CONNECTOR QUALITY","REPLACE THE KEYPAD,INTERFACING CABLE AND CONNECTOR",CHECK THE MAINBOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR PAIR,,,,,,,,,,,,,,,,,,,,
,,,LCD NOT WORKING - BLANK DISPLAY,"CHECK THE LCD,INTERFACE CABLE AND CONNECTOR QUALITY","REPLACE THE LCD,INTERFACING CABLE AND CONNECTOR",CHECK THE MAINBOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR PAIR,,,,,,,,,,,,,,,,,,,,
,,,RTC TIME NOT RUNNING ,CHECK THE RTC MODULE IC CRYSTAL AND ALSO CHECK THE FILTER CAPACITORS,REPLACE THE CRYSTAL AND CAPACITORS,CHECK THE MAINBOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR PAIR,,,,,,,,,,,,,,,,,,,,
,,,COMPUTER OUTPUT NOT PRESENT,CHECK THE DATAOUTPUT FORMAT OF THE ANALYZER SETTINGS,SET THE REQUIRED SETTINGS VALUES,CHECK THE MACHINE COMPUTER OUT TO COMPUTER CABLE CONNECTIVITY,REPLACE THE COMPUTER OUT TO COMPUTER CABLE,CHECK THE MAINBOARD FUNCTIONALITY,REPLACE THE MAINBOARD AND SENSOR PAIR,,,,,,,,,,,,,,,,,,
,,,RTC TIME NOT SAVED - RESTART TIME TIME CHANGED(RE-SETTED),CHECK THE CMOS BATTERY VOLTAGE ABOVE 2V,REPLACE THE CMOS BATTERY,CHECK THE RTC MODULE AND MAINBOARD FUNCTIONALITY,REPLACE THE RTC MODULE OR MAINBOARD PAIR,,,,,,,,,,,,,,,,,,,,
,,,SMS NOT SEND TO THE FARMER,CHECK THE GSM/SIM MODULE CONNECTIVITY (INSERTED SIM DIRECTION ) AND CHECK THE SIM VALIDITY,CORRECT THE MODULE/SIM CONNECTIVITY AND EXTEND THE SIM VALIDITY,CHECK THE FARMER DETAILS ENTERED ARE CORRECT,PROPERLY ENTER THE FARMER DETAILS,CHECK THE ENTERED SMS ENABLE SETTINGS ARE CORRECT,ENTER THE CORRECT SETTINGS,,,,,,,,,,,,,,,,,,
,,,TESTED RESULT TO CLOUD UPDATION ERROR SHOWN,CHECK THE WIFI/GSM CONNECTIVITY,ENTER THE PROPER SETTINGS AND SET THE WIFI/GSM MODULE CONNECTIVITY,CHECK THE ENTERED THE CLOUD DETAILS ARE CORRECT,PROPER CLOUD ADDRESS AND DETAILS ARE ENTER,CHECK THE SAME MACHINE ID AND MODEL DETAILS ARE ENTERED IN THE CLOUD APPLICATION-(MACHINE REGISTRATION),ENTER THAT MACHINE ID AND MODEL IN THE WEB APPLICATION,,,,,,,,,,,,,,,,,,
,,,RATE NOT TAKEN FROM THE CHART / NOT VIEW,CHECK THE RATE CHART SETTINGS ENTERED PROPERLY,ENTER THE CORRECT SETTINGS,,,,,,,,,,,,,,,,,,,,,,
,,,FARMER DETAILS NOT SHOWN,CHECK THE FARMER DETAILS ARE ENTERED CORRECTLY,ENTER THE CORRECT DETAILS,,,,,,,,,,,,,,,,,,,,,,
,,,WEIGHING SCALE NOT WORKING,CHECK THE REQUIRED SETTINGS IS APPLIED,SET THE REQUIRED SETTINGS VALUES,CHECK THE MAIN BOARD TO BACKPANEL BOARD FRC CABLE QUALITY AND CONNECTOR DIRECTION,REPLACE THE MAIN TO BACKPANEL FRC CABLE AND RE CONNECT THE CABLE AT PROPER DIRECTION,CHECK THE BACKPANEL PCB FUNCTANALITY,REPLACE THE BACKPANEL PCB,CHECK THE MAIN BOARD FUNCTANALITY,REPLACE THE MAINBOARD AND SENSOR PAIR,CHECK THE WEIGHING SCALE INTERFACING CABLE,REPLACE THE WEIGHING SCALE INTERFACING CABLE,,,,,,,,,,,,,,
,,,EXTERNAL DISPLAY NOT WORKING,CHECK THE MAIN BOARD TO BACKPANEL BOARD FRC CABLE QUALITY AND CONNECTOR DIRECTION,REPLACE THE MAIN TO BACKPANEL FRC CABLE AND RE CONNECT THE CABLE AT PROPER DIRECTION,CHECK THE BACKPANEL BOARD FUCTIONALITY,REPLACE THE BACKPANEL BOARD,CHECK THE MAIN BOARD FUNCTIONALITY,REPLACE THE MAIN BOARD,CHECK THE EXTERNAL DISPLAY INTERFACING CABLE,REPLACE THE EXTERNAL DISPLAY INTERFACING CABLE,,,,,,,,,,,,,,,,
,,OTHERS,ANALYZER NOT WORKING,CHECK THE FUSE ,REPLACE THE FUSE,CHECK THE ADAPTER / BATTERY VOLTAGE ABOVE 11.5V,REPLACE THE ADAPTER / BATTERY,CHECK THE ON/OFF SWITCH FUNCTIONALITY,REPLACE THE ON/OFF SWITCH,CHECK THE INTERNAL BARDS SUPPLY LINE IS SHORTCIRCUIT,REPLACE THE SHORTED BOARD,CHECK THE INTERNAL SUPPLY LINE OPEN/LOOSE FAULT ,REPLACE THE FAULTY CONNECTOR/CABLES,,,,,,,,,,,,,,
